a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.0,0.8,0.2,0.5,0.9,1.0,价格不算贵，移动网速好
0.45,0.25,0.3,0.1,0.8,1.0,精准推送，省时
0.3,0.3,0.4,0.7,0.4,0.0,流量够用，没必要
0.15,0.7,0.15,0.7,0.4,0.0,通用流量少，价格有点贵
0.01,0.34,0.65,0.9,0.2,0.0,移动通信覆盖率高，但是新套餐性价比太低了
0.0,0.95,0.05,0.95,1.0,1.0,比我现在套餐便宜，比我现在套餐实惠
0.1,0.4,0.5,0.8,0.6,0.0,价格套餐有点贵
0.2,0.4,0.4,0.7,0.8,1.0,流量更多，通话时间更长，网速更快，安全方便。
0.3,0.3,0.4,0.6,0.6,1.0,更多流量，更快速；价格翻倍，移动价格更高
0.1,0.7,0.2,0.6,0.6,1.0,套餐月租增加了20元，超过了流量和通话的价值，且5G体验更好
0.1,0.5,0.4,0.9,0.5,0.0,价格上涨过高，通用流量提升不大，其他功能我不需要
0.08,0.9,0.02,0.4,0.2,0.0,流量构成复杂，定向流量基本没用。目前我在使用的套餐价格更加优惠
0.1,0.6,0.3,0.8,0.6,0.0,套餐里流量通话合适，但价格稍高
0.3,0.5,0.2,0.7,0.8,1.0,移动提供的可选本地归属的 非常不错  不用担心办理别人的号码
0.2,0.3,0.5,0.9,0.7,0.0,移动套餐的内容很好，但价格稍贵
0.2,0.2,0.6,0.6,0.8,1.0,5G会更快，网络也会更加
0.3,0.4,0.3,0.8,0.2,0.0,价格太贵了，没有为人民考虑价格
0.2,0.5,0.3,0.55,0.6,1.0,定向流量我挺需要的
0.1,0.5,0.4,0.6,0.8,1.0,移动整体还是不错的，这个套餐升级感觉性价比也不错
0.0,0.5,0.5,0.1,0.9,1.0,这个套餐还是比较实惠了
