a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.05,0.5,0.45,0.8,0.5,0.0,套餐比其她公司贵
0.1,0.4,0.5,0.5,0.8,1.0,移动基站多，信号好。
0.2,0.2,0.6,0.6,0.5,0.0,套餐有点贵，不划算
0.1,0.6,0.3,0.5,0.9,1.0,套餐多了许多内容
0.15,0.6,0.25,0.4,0.5,0.0,移动套餐比联通和电信贵
0.1,0.7,0.2,0.9,0.4,0.0,有点贵
0.8,0.1,0.1,0.8,0.4,0.0,流量从15到20G，价格却翻了一倍，奸商
0.1,0.8,0.1,0.9,0.2,0.0,不太需要，学校里基本都有wifi，多流量也没用
0.45,0.1,0.45,0.3,0.9,1.0,支持常用app，流量一共变成了50G，升级套餐的性价比更高。并且我了解到：移动APP升级，支持更多服务。套餐里也有彩铃等福利，感觉移动的诚意满满（虽然lmx是联通用户）
0.01,0.5,0.49,0.5,0.5,1.0,虽然更贵了 但是部分内容还蛮吸引我的
0.2,0.4,0.4,0.6,0.8,0.0,1、流量增加了2、5G网络速度快，移动服务好3、套餐价格上涨较多
0.0,1.0,0.0,0.8,0.1,0.0,没有额外的需求，不想多花钱
0.2,0.4,0.4,0.2,1.0,1.0,APP升级了而且更便捷更方便增加了及时功能
0.2,0.5,0.3,0.4,0.2,0.0,因为5G网大部分地方不稳定使用
0.2,0.3,0.5,0.9,0.2,0.0,我是觉得不是很划算，升级的点并不是我在意的，同时也比电信联通资费高
0.1,0.2,0.7,0.8,0.2,0.0,给的通用流量少，还贵了那么多
0.25,0.7,0.05,0.6,0.8,1.0,性价比还算不错了
0.3,0.2,0.5,0.75,0.6,0.0,移动在通信和网速上体验感最好，但是每个月的费用还是比较高
0.15,0.25,0.6,0.85,0.7,1.0,原套餐流量不够用，超出流量费用比较高
0.2,0.5,0.3,0.9,0.3,0.0,一般移动资费高于电信和联通，不划算
0.05,0.8,0.15,0.5,1.0,1.0,套餐划算 app升级界面整洁操作简洁
0.01,0.98,0.01,0.9,0.1,0.0,因为套餐比较贵。不值得
0.0,0.95,0.05,1.0,0.1,0.0,运营商心也太黑了，搞的这么贵，花里胡哨赚老百姓的钱。
0.1,0.4,0.5,0.7,0.8,1.0,它适用于很多的APP的使用流量，还有就是移动的网速，对于其他的公司对比来说也是不错的。
0.1,0.6,0.3,0.5,0.5,1.0,会给我们带来便利，但是不清楚他的服务怎么样，不知道上网情况怎么样
0.03,0.9,0.07,0.4,0.8,1.0,我觉得这个比之前的更好了，而且更方便操作和使用
0.1,0.3,0.6,0.3,0.3,0.0,对于工作的人来说，没wifi工作的地方，这些流量并不够用，能够长时间连wifi的人，则不需要这么多流量
0.0,0.4,0.6,0.7,0.4,0.0,39元月租太贵了，给的福利也不好
0.1,0.7,0.2,0.8,0.4,0.0,移动的套餐费比电信和联通要高出一些，我觉得有点不划算
0.1,0.8,0.1,0.75,0.4,0.0,感觉该项费用的上涨幅度过大，与实际提供的额外服务不相匹配。
0.05,0.75,0.2,1.0,0.5,0.0,多出20元，但未感觉多出套餐值得
0.05,0.35,0.6,0.1,0.9,1.0,我觉得用每月20块钱换取更优质的上网和通话体验是值得的
0.1,0.7,0.2,0.8,0.9,1.0,新套餐，流量，以及定向流量都是比较多
0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.1,0.0,价格贵 且套餐不好 流量少
0.3,0.6,0.1,0.8,0.3,0.0,我觉得性价比不高，而且价格有点太贵了，赠送的流量也不多
0.1,0.6,0.3,0.7,0.2,0.0,价格和流量和语音的量不匹配，价格太贵，但是可以使用的量太少，根本不够用，套餐不实惠
0.2,0.3,0.5,0.45,0.6,0.0,升级了个性化不错，但是还是有点贵
0.2,0.6,0.2,0.4,0.5,1.0,虽然套餐很好，但是信号不如其他运营商好
0.1,0.7,0.2,1.0,0.0,0.0,我有wifi 没必要花多一倍价格买个没用的流量
0.25,0.5,0.25,0.7,0.4,1.0,套餐变多，更划算
0.1,0.8,0.1,1.0,0.6,0.0,移动的标准套餐资费从10-599不等，一般来说移动资费高于电信和联通。
0.05,0.8,0.15,0.95,0.6,0.0,感觉并没有吸引到，但是有新号码，避免用到老号码的这个不错
0.3,0.5,0.2,0.8,0.6,0.0,虽然价格上涨了，但是确实流量等都增加了一大部分
0.2,0.5,0.3,0.5,0.9,0.0,有更多服务了，但也是根据个人需求
0.45,0.45,0.1,1.0,0.5,0.0,我认为新套餐比较优惠，但是否真正需要还有待考虑。
0.0,0.8,0.2,0.5,0.9,1.0,价格不算贵，移动网速好
0.45,0.25,0.3,0.1,0.8,1.0,精准推送，省时
0.3,0.3,0.4,0.7,0.4,0.0,流量够用，没必要
0.15,0.7,0.15,0.7,0.4,0.0,通用流量少，价格有点贵
0.01,0.34,0.65,0.9,0.2,0.0,移动通信覆盖率高，但是新套餐性价比太低了
0.0,0.95,0.05,0.95,1.0,1.0,比我现在套餐便宜，比我现在套餐实惠
0.1,0.4,0.5,0.8,0.6,0.0,价格套餐有点贵
0.2,0.4,0.4,0.7,0.8,1.0,流量更多，通话时间更长，网速更快，安全方便。
0.3,0.3,0.4,0.6,0.6,1.0,更多流量，更快速；价格翻倍，移动价格更高
0.1,0.7,0.2,0.6,0.6,1.0,套餐月租增加了20元，超过了流量和通话的价值，且5G体验更好
0.1,0.5,0.4,0.9,0.5,0.0,价格上涨过高，通用流量提升不大，其他功能我不需要
0.08,0.9,0.02,0.4,0.2,0.0,流量构成复杂，定向流量基本没用。目前我在使用的套餐价格更加优惠
0.1,0.6,0.3,0.8,0.6,0.0,套餐里流量通话合适，但价格稍高
0.3,0.5,0.2,0.7,0.8,1.0,移动提供的可选本地归属的 非常不错  不用担心办理别人的号码
0.2,0.3,0.5,0.9,0.7,0.0,移动套餐的内容很好，但价格稍贵
0.2,0.2,0.6,0.6,0.8,1.0,5G会更快，网络也会更加
0.3,0.4,0.3,0.8,0.2,0.0,价格太贵了，没有为人民考虑价格
0.2,0.5,0.3,0.55,0.6,1.0,定向流量我挺需要的
0.1,0.5,0.4,0.6,0.8,1.0,移动整体还是不错的，这个套餐升级感觉性价比也不错
0.0,0.5,0.5,0.1,0.9,1.0,这个套餐还是比较实惠了
0.1,0.2,0.7,0.9,0.6,0.0,套餐升级比较贵
0.4,0.3,0.3,1.0,0.6,0.0,涨价有点多，接受不了
0.15,0.35,0.5,0.8,0.2,0.0,贵，涨了20块钱，没多多少有用的资费功能。
0.3,0.4,0.3,0.6,0.8,1.0,界面设计优化，清新简洁的设计风格使得操作更加直观、界面更加美观；加入了个性化推荐的功能
0.4,0.4,0.2,0.8,0.4,0.0,电话卡套餐还是贵了点
0.3,0.4,0.3,0.6,0.4,0.0,移动信号不稳定
0.32,0.33,0.35,0.3,0.7,1.0,新套餐有更多更快的的流量、语音通话时长和优惠政策，同时价格也不算太贵
0.1,0.1,0.8,0.8,0.0,0.0,这个套餐太贵，不划算
0.3,0.3,0.4,0.7,0.4,0.0,现在更多地使用是wifi 而且也有5g的wifi ，加了20块钱那个流量如果不使用无线也是不够用的
0.3,0.5,0.2,1.0,0.8,1.0,首先流量变多的 通话时间也多了 但是就是变得有点贵
0.6,0.2,0.2,0.6,0.5,1.0,可以用一个新的号码，避免他人用过的号码已经绑定了许多app
0.36363636363636365,0.3181818181818182,0.3181818181818182,0.7,0.6,1.0,套餐整体来感觉是不错便宜实惠 但信号不知道怎么样才
0.1,0.6,0.3,0.45,0.4,0.0,全国通用流量不够用
0.3,0.3,0.4,0.4,0.5,0.0,5G网速快但是定向流量有限制而且也挺贵
0.2,0.5,0.3,0.6,0.2,0.0,推出的新套餐价格太高了，比电信和联通都高
0.4,0.3,0.3,0.7,0.3,0.0,升不升级这个套餐都是好坑
0.2,0.3,0.5,0.3,0.5,0.0,移动的信号覆盖不好
0.1,0.5,0.4,0.03,0.6,1.0,新套餐的流量和通话相比，原先有很大的提升，价格也在合理的范围之内，并且移动的服务也挺好的，但是毕竟价格还是有增长
0.2891566265060241,0.3534136546184739,0.357429718875502,0.98,0.8,1.0,新套餐更划算
0.3,0.344,0.356,0.89,0.9,0.0,新套餐功能比较多
0.2,0.5,0.3,0.7,0.9,1.0,移动目前在通信方面是比较好的，体验感也是。
0.1,0.7,0.2,0.7,0.7,1.0,4g网络变成了5g网络，这个虽然价格贵了，但是它的流量也变多了，并且中国移动官方进行了全面的升级，会提供更加个性化的服务，也有消息推送和即时通讯的功能，非常适合日常使用
0.2,0.5,0.3,0.8,0.4,0.0,价格虚高没有诚意，其他运营商的价格更有性价比，而且给的定向流量限制使用不方便
0.1,0.4,0.5,0.8,0.3,0.0,我认为移动得信号没有其他两大运营商得信号好
0.15,0.35,0.5,0.8,0.3,0.0,19变成39，价格翻了一倍，为什么流量没有完全翻一倍？是改成了定向流量，说不定又是玩什么套路，而且在有WiFi情况下用不了这么多流量
0.2,0.3,0.5,0.4,0.4,1.0,套餐费用太高了
0.05,0.8,0.15,0.3,0.8,1.0,手机在生活中处处用到，这个套餐提高了生活品质，且价格的提升我觉得还好
0.3,0.2,0.5,0.99,0.3,0.0,基本只考虑流量，不划算。
0.1,0.7,0.2,0.85,0.6,1.0,虽然信号有限，但是附加服务还是不错的，通勤日常使用足够了
0.1,0.7,0.2,0.6,0.8,1.0,它的流量变得多了很多，对我来说非常的实用。
0.2,0.4,0.4,0.6,0.8,1.0,通信网速好 但移动流量贵
0.3,0.5,0.2,0.7,0.4,0.0,加了20元 不喜欢 太贵了
0.15,0.7,0.15,0.3,0.9,1.0,流量大，多种APP可以使用，价格也不高
0.2,0.3,0.5,0.6,0.5,1.0,以前的能用但移动给新的手机号能很有诱惑
0.2,0.5,0.3,0.8,0.2,0.0,贵还不好，用处不大
0.2,0.5,0.3,0.8,0.3,0.0,感觉很没有必要，流量没增加多少，还贵了20元，信号也不好
0.2857142857142857,0.38095238095238093,0.3333333333333333,0.7,0.6,0.0,他的app服务是好的，但是这个套餐一个月流量太少根本不够用
0.2,0.4,0.4,0.8,0.3,0.0,用不到那么多流量 升级太贵了
0.2,0.5,0.3,0.8,0.4,0.0,虽然增加了很多套餐，但是感觉流量还是少，性价比不划算
0.25,0.65,0.1,0.7,0.3,0.0,有点贵划不来
0.05,0.7,0.25,0.8,0.3,0.0,性价比不高 而且适用的人群范围比较小
0.0,0.6,0.4,0.8,0.3,0.0,涨价20元，但通用流量其实基本没变，定向流量很多时候用不上，所以性价比极低
0.2,0.5,0.3,0.8,0.5,0.0,感觉移动得信号不是很好
0.05,0.8,0.15,0.7,0.8,1.0,更符合现代人个性化的需求
0.1,0.6,0.3,0.6,0.6,1.0,可以转变成使用5G流量，也有更多的流量可以使用，只是价格有些高
0.1,0.8,0.1,1.0,0.8,0.0,性价比还是蛮高的，通话分钟记忆流量，但是我一般都是用的wifi，流量用的比较少
0.1,0.3,0.6,0.4,0.4,0.0,虽然移动基站的覆盖范围最广，但是其信号可能没有其他两大运营商好。
0.1,0.7,0.2,0.7,0.8,1.0,套餐整体的升级还是比较不错的，多了很多流量
0.1,0.5,0.4,0.6,0.4,0.0,虽然网速快，但是流量不够用
0.15,0.45,0.4,0.8,0.2,0.0,彩铃语音不用；相当于多了5G+30G就是多了20元，不划算，特别是很少用手机看剧（定向流量）；加上私聊信息。
0.3,0.6,0.1,0.6,0.9,1.0,流量的增加，还有通话时长的增加都比较好。
0.2,0.5,0.3,0.7,0.8,1.0,我手机用流量比较多，喜欢大流量套餐
0.25,0.25,0.5,0.6,0.7,1.0,套餐还算实惠，提供的服务有吸引力，且可以获得本地归属的新手机号，不过换套餐可能有些麻烦
0.2,0.5,0.3,0.7,0.7,0.0,性价比不是很高，而且费用高于其他运营商，我可能会选择其他运营商
0.25,0.2,0.55,0.6,0.9,0.0,在5G基站建设方面，截至2024年5月全国累计建成5G基站总数达383.7万站，移动所属最多，所以一般来说移动在通信和网速上体验最佳。
0.1,0.5,0.4,0.8,0.5,0.0,金额提高20但实际流量只增加5g，通话50分钟，感觉不值，而且信号也是个问题
0.2,0.6,0.2,0.6,0.1,0.0,套餐资费贵
0.2,0.3,0.5,0.7,0.7,1.0,虽然价格上涨，但提供了更多的流量，还有定向流量，整体比较划算
0.1,0.5,0.4,0.8,0.7,0.0,流量多了一些，但是价格涨幅过大
0.3,0.3,0.4,0.8,0.5,0.0,虽然网速体验和服务有了很大的提升，但是费用也增加一倍了，成本价格很高
0.2222222222222222,0.3333333333333333,0.4444444444444444,0.9,0.1,0.0,变贵了很多但套餐内容并没有很大涨幅，性价比不高
0.25,0.4,0.35,0.8,0.6,1.0,买套餐比较看重流量跟话费的多少，这套餐的流量比之前的多了很多，值得购买
0.30612244897959184,0.32653061224489793,0.3673469387755102,0.6,0.8,1.0,因为它的普及范围很广泛，并且也是最佳的选择。
0.15,0.35,0.5,0.7,0.7,0.0,有很多为使用者考虑的情况，还是非常不错的，还能避免注册到别人的手机号。
0.05,0.6,0.35,0.8,0.4,0.0,最主要的还是因为套餐的性价比不高
0.33783783783783783,0.36936936936936937,0.2927927927927928,0.6,0.7,0.0,可以自己选本地号码 不会用到别人的号码挺好的
0.4,0.35,0.25,0.6,0.3,0.0,主要觉得新套餐太贵了，流量也没有多多少，也没有特别想要更换的想法
0.15,0.7,0.15,1.0,0.8,1.0,还是挺划算的
0.2,0.5,0.3,0.6,0.6,0.0,信号才是最根本的
0.05,0.15,0.8,1.0,0.4,0.0,太贵了，不是太想用，能满足自己的日常需求就行了，不需要更换
0.1,0.5,0.4,0.7,0.3,0.0,贵，流量也少
0.2,0.2,0.6,0.6,0.6,0.0,感觉通话时间太少了，，而且上涨20元，套餐只多了一点
0.2,0.4,0.4,0.6,0.3,0.0,套餐费上涨了一倍，但是流量的数量缺没有明显的改变
0.12,0.38,0.5,0.95,0.7,0.0,移动号码可选新号，便于使用
0.1,0.1,0.8,0.7,0.3,0.0,流量太少
