a,tau,f,lambda,O_inital,A_inital,O_inital_text
0.2857142857142857,0.38095238095238093,0.3333333333333333,0.7,0.6,0.0,他的app服务是好的，但是这个套餐一个月流量太少根本不够用
0.2,0.4,0.4,0.8,0.3,0.0,用不到那么多流量 升级太贵了
0.2,0.5,0.3,0.8,0.4,0.0,虽然增加了很多套餐，但是感觉流量还是少，性价比不划算
0.25,0.65,0.1,0.7,0.3,0.0,有点贵划不来
0.05,0.7,0.25,0.8,0.3,0.0,性价比不高 而且适用的人群范围比较小
0.0,0.6,0.4,0.8,0.3,0.0,涨价20元，但通用流量其实基本没变，定向流量很多时候用不上，所以性价比极低
0.2,0.5,0.3,0.8,0.5,0.0,感觉移动得信号不是很好
0.05,0.8,0.15,0.7,0.8,1.0,更符合现代人个性化的需求
0.1,0.6,0.3,0.6,0.6,1.0,可以转变成使用5G流量，也有更多的流量可以使用，只是价格有些高
0.1,0.8,0.1,1.0,0.8,0.0,性价比还是蛮高的，通话分钟记忆流量，但是我一般都是用的wifi，流量用的比较少
0.1,0.3,0.6,0.4,0.4,0.0,虽然移动基站的覆盖范围最广，但是其信号可能没有其他两大运营商好。
0.1,0.7,0.2,0.7,0.8,1.0,套餐整体的升级还是比较不错的，多了很多流量
0.1,0.5,0.4,0.6,0.4,0.0,虽然网速快，但是流量不够用
0.15,0.45,0.4,0.8,0.2,0.0,彩铃语音不用；相当于多了5G+30G就是多了20元，不划算，特别是很少用手机看剧（定向流量）；加上私聊信息。
0.3,0.6,0.1,0.6,0.9,1.0,流量的增加，还有通话时长的增加都比较好。
0.2,0.5,0.3,0.7,0.8,1.0,我手机用流量比较多，喜欢大流量套餐
0.25,0.25,0.5,0.6,0.7,1.0,套餐还算实惠，提供的服务有吸引力，且可以获得本地归属的新手机号，不过换套餐可能有些麻烦
0.2,0.5,0.3,0.7,0.7,0.0,性价比不是很高，而且费用高于其他运营商，我可能会选择其他运营商
0.25,0.2,0.55,0.6,0.9,0.0,在5G基站建设方面，截至2024年5月全国累计建成5G基站总数达383.7万站，移动所属最多，所以一般来说移动在通信和网速上体验最佳。
0.1,0.5,0.4,0.8,0.5,0.0,金额提高20但实际流量只增加5g，通话50分钟，感觉不值，而且信号也是个问题
0.2,0.6,0.2,0.6,0.1,0.0,套餐资费贵
0.2,0.3,0.5,0.7,0.7,1.0,虽然价格上涨，但提供了更多的流量，还有定向流量，整体比较划算
0.1,0.5,0.4,0.8,0.7,0.0,流量多了一些，但是价格涨幅过大
0.3,0.3,0.4,0.8,0.5,0.0,虽然网速体验和服务有了很大的提升，但是费用也增加一倍了，成本价格很高
0.2222222222222222,0.3333333333333333,0.4444444444444444,0.9,0.1,0.0,变贵了很多但套餐内容并没有很大涨幅，性价比不高
0.25,0.4,0.35,0.8,0.6,1.0,买套餐比较看重流量跟话费的多少，这套餐的流量比之前的多了很多，值得购买
0.30612244897959184,0.32653061224489793,0.3673469387755102,0.6,0.8,1.0,因为它的普及范围很广泛，并且也是最佳的选择。
0.15,0.35,0.5,0.7,0.7,0.0,有很多为使用者考虑的情况，还是非常不错的，还能避免注册到别人的手机号。
0.05,0.6,0.35,0.8,0.4,0.0,最主要的还是因为套餐的性价比不高
0.33783783783783783,0.36936936936936937,0.2927927927927928,0.6,0.7,0.0,可以自己选本地号码 不会用到别人的号码挺好的
0.4,0.35,0.25,0.6,0.3,0.0,主要觉得新套餐太贵了，流量也没有多多少，也没有特别想要更换的想法
0.15,0.7,0.15,1.0,0.8,1.0,还是挺划算的
0.2,0.5,0.3,0.6,0.6,0.0,信号才是最根本的
0.05,0.15,0.8,1.0,0.4,0.0,太贵了，不是太想用，能满足自己的日常需求就行了，不需要更换
0.1,0.5,0.4,0.7,0.3,0.0,贵，流量也少
0.2,0.2,0.6,0.6,0.6,0.0,感觉通话时间太少了，，而且上涨20元，套餐只多了一点
0.2,0.4,0.4,0.6,0.3,0.0,套餐费上涨了一倍，但是流量的数量缺没有明显的改变
0.12,0.38,0.5,0.95,0.7,0.0,移动号码可选新号，便于使用
0.1,0.1,0.8,0.7,0.3,0.0,流量太少
